date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2017-02-22,506,77,429,0.15217391304347827
2017-02-23,506,77,429,0.15217391304347827
2017-02-24,506,77,429,0.15217391304347827
2017-02-27,506,77,429,0.15217391304347827
2017-02-28,506,77,429,0.15217391304347827
2017-03-01,507,77,430,0.15187376725838264
2017-03-02,507,77,430,0.15187376725838264
2017-03-03,506,77,429,0.15217391304347827
2017-03-06,506,77,429,0.15217391304347827
2017-03-07,506,77,429,0.15217391304347827
2017-03-08,506,77,429,0.15217391304347827
2017-03-09,506,77,429,0.15217391304347827
2017-03-10,506,77,429,0.15217391304347827
2017-03-13,507,77,430,0.15187376725838264
2017-03-14,505,77,428,0.15247524752475247
2017-03-15,505,77,428,0.15247524752475247
2017-03-16,506,77,429,0.15217391304347827
2017-03-17,506,77,429,0.15217391304347827
2017-03-20,509,78,431,0.15324165029469547
2017-03-21,506,78,428,0.1541501976284585
2017-03-22,506,78,428,0.1541501976284585
2017-03-23,506,78,428,0.1541501976284585
2017-03-24,506,78,428,0.1541501976284585
2017-03-27,506,78,428,0.1541501976284585
2017-03-28,506,78,428,0.1541501976284585
2017-03-29,506,78,428,0.1541501976284585
2017-03-30,506,78,428,0.1541501976284585
2017-03-31,506,78,428,0.1541501976284585
2017-04-03,506,78,428,0.1541501976284585
2017-04-04,507,78,429,0.15384615384615385
2017-04-05,507,78,429,0.15384615384615385
2017-04-06,506,78,428,0.1541501976284585
2017-04-07,506,78,428,0.1541501976284585
2017-04-10,506,78,428,0.1541501976284585
2017-04-11,506,78,428,0.1541501976284585
2017-04-12,506,78,428,0.1541501976284585
2017-04-13,506,78,428,0.1541501976284585
2017-04-17,506,78,428,0.1541501976284585
2017-04-18,506,78,428,0.1541501976284585
2017-04-19,506,78,428,0.1541501976284585
2017-04-20,506,78,428,0.1541501976284585
2017-04-21,506,78,428,0.1541501976284585
2017-04-24,506,78,428,0.1541501976284585
2017-04-25,506,78,428,0.1541501976284585
2017-04-26,506,78,428,0.1541501976284585
2017-04-27,506,78,428,0.1541501976284585
2017-04-28,506,78,428,0.1541501976284585
2017-05-01,506,78,428,0.1541501976284585
2017-05-02,506,78,428,0.1541501976284585
2017-05-03,506,78,428,0.1541501976284585
2017-05-04,506,78,428,0.1541501976284585
2017-05-05,506,78,428,0.1541501976284585
2017-05-08,506,78,428,0.1541501976284585
2017-05-09,506,78,428,0.1541501976284585
2017-05-10,506,78,428,0.1541501976284585
2017-05-11,506,78,428,0.1541501976284585
2017-05-12,506,78,428,0.1541501976284585
2017-05-15,506,78,428,0.1541501976284585
2017-05-16,506,78,428,0.1541501976284585
2017-05-17,506,78,428,0.1541501976284585
2017-05-18,506,78,428,0.1541501976284585
2017-05-19,506,78,428,0.1541501976284585
2017-05-22,506,78,428,0.1541501976284585
2017-05-23,506,78,428,0.1541501976284585
2017-05-24,506,78,428,0.1541501976284585
2017-05-25,506,78,428,0.1541501976284585
2017-05-26,506,78,428,0.1541501976284585
2017-05-30,506,78,428,0.1541501976284585
2017-05-31,506,78,428,0.1541501976284585
2017-06-01,506,78,428,0.1541501976284585
2017-06-02,507,78,429,0.15384615384615385
2017-06-05,506,78,428,0.1541501976284585
2017-06-06,506,78,428,0.1541501976284585
2017-06-07,506,78,428,0.1541501976284585
2017-06-08,506,78,428,0.1541501976284585
2017-06-09,506,78,428,0.1541501976284585
2017-06-12,506,78,428,0.1541501976284585
2017-06-13,506,78,428,0.1541501976284585
2017-06-14,506,78,428,0.1541501976284585
2017-06-15,506,78,428,0.1541501976284585
2017-06-16,505,78,427,0.15445544554455445
2017-06-19,509,78,431,0.15324165029469547
2017-06-20,506,78,428,0.1541501976284585
2017-06-21,506,78,428,0.1541501976284585
2017-06-22,506,78,428,0.1541501976284585
2017-06-23,506,78,428,0.1541501976284585
2017-06-26,506,78,428,0.1541501976284585
2017-06-27,506,78,428,0.1541501976284585
2017-06-28,506,78,428,0.1541501976284585
2017-06-29,506,78,428,0.1541501976284585
2017-06-30,506,78,428,0.1541501976284585
2017-07-03,506,78,428,0.1541501976284585
2017-07-05,506,78,428,0.1541501976284585
2017-07-06,506,78,428,0.1541501976284585
2017-07-07,506,78,428,0.1541501976284585
2017-07-10,506,78,428,0.1541501976284585
2017-07-11,506,78,428,0.1541501976284585
2017-07-12,506,78,428,0.1541501976284585
2017-07-13,506,78,428,0.1541501976284585
2017-07-14,506,78,428,0.1541501976284585
2017-07-17,506,78,428,0.1541501976284585
2017-07-18,506,78,428,0.1541501976284585
2017-07-19,506,78,428,0.1541501976284585
2017-07-20,506,78,428,0.1541501976284585
2017-07-21,506,78,428,0.1541501976284585
2017-07-24,506,78,428,0.1541501976284585
2017-07-25,506,78,428,0.1541501976284585
2017-07-26,510,78,432,0.15294117647058825
2017-07-27,506,78,428,0.1541501976284585
2017-07-28,506,78,428,0.1541501976284585
2017-07-31,506,78,428,0.1541501976284585
2017-08-01,506,78,428,0.1541501976284585
2017-08-02,506,78,428,0.1541501976284585
2017-08-03,506,78,428,0.1541501976284585
2017-08-04,506,78,428,0.1541501976284585
2017-08-07,507,78,429,0.15384615384615385
2017-08-08,507,78,429,0.15384615384615385
